Decision,Neighbourhood,Cooking,Room_type,Accommodates,Bath,Bath_shared,No_review,Price,Bedrooms,Essentials,Parking,Property_type2,Instant_bookable,Beds,Host_response_time
1,28806,5,Entire home/apt,6,1,0,0,5.0998664278242,3,5,1,Private small room,t,3,within an hour
1,28804,4,Entire home/apt,4,1,0,0,4.61512051684126,1,5,1,Entire house,t,1,within an hour
0,28806,3,Private room,1,1,0,0,3.46573590279973,1,5,1,Private small room,f,1,within a few hours
1,28803,5,Entire home/apt,8,2,0,0,5.9427993751267,2,5,1,Private small room,t,5,within an hour
0,28805,5,Entire home/apt,6,2,0,0,5.47227067367148,3,5,1,Entire house,f,4,within an hour
1,28806,5,Entire home/apt,6,2,0,0,4.89034912822175,3,5,1,Entire residential home,f,4,within an hour
1,28806,3,Entire home/apt,2,1,0,0,4.9272536851572,1,5,1,Entire rental unit,f,1,within an hour
0,28803,5,Entire home/apt,4,1.5,0,1,4.0943445622221,2,5,1,Entire house,f,2,within an hour
1,28704,4,Entire home/apt,12,2,0,0,5.55295958492162,3,4,1,Entire residential home,t,7,within an hour
0,28806,1,Entire home/apt,3,1.5,0,0,4.60517018598809,2,4,1,Private small room,f,2,within a few hours
1,28806,0,Entire home/apt,4,1,0,0,4.66343909411207,1,5,1,Entire guest suite,f,2,within an hour
1,28801,1,Entire home/apt,2,1,0,0,5.26269018890489,1,5,1,Entire apartment,f,1,within a few hours
1,28801,5,Entire home/apt,4,1,0,0,5.52942908751142,1,3,1,Private small room,t,2,within an hour
0,28806,5,Entire home/apt,6,3,0,0,5.95324333428778,3,5,1,Entire house,t,3,within an hour
0,28732,5,Entire home/apt,4,1,0,0,4.85981240436167,2,5,1,Entire guest suite,f,3,within a few hours
1,28715,5,Entire home/apt,11,2.5,0,0,6.21460809842219,3,5,1,Entire house,f,7,
1,28803,5,Entire home/apt,16,6,0,0,7.06902342657826,7,5,1,Entire house,f,9,within a few hours
1,28803,5,Entire home/apt,6,2,0,0,5.50533153593236,3,5,1,Entire house,f,4,within an hour
1,28704,5,Entire home/apt,2,1,0,0,4.90527477843843,1,4,1,Entire residential home,f,1,within an hour
1,28804,4,Entire home/apt,3,1,0,0,4.98360662170834,1,5,1,Entire apartment,t,1,within an hour
1,28806,5,Entire home/apt,2,1,0,0,5.37063802812766,1,5,1,Entire rental unit,f,3,within an hour
1,28803,2,Private room,2,1,0,0,4.24849524204936,1,5,1,Private small room,t,1,within an hour
0,28801,5,Entire home/apt,2,1,0,0,4.49980967033027,1,5,1,Entire rental unit,f,2,
0,28801,5,Entire home/apt,2,1,0,0,4.00733318523247,1,5,1,Entire rental unit,f,1,within a few hours
1,28704,5,Entire home/apt,6,2,0,0,5.52146091786225,3,5,1,Entire residential home,t,3,within an hour
1,28806,5,Entire home/apt,6,1,0,0,5.17048399503815,3,5,1,Entire house,t,4,within an hour
0,28803,4,Entire home/apt,4,1,0,0,5.23644196282995,2,5,1,Entire guest suite,t,2,within an hour
0,28805,0,Entire home/apt,7,2,0,0,4.88280192258637,2,5,1,Entire residential home,f,3,within an hour
1,28801,5,Entire home/apt,4,1,0,0,5.5834963087817,1,5,1,Private small room,t,2,within an hour
0,28715,0,Entire home/apt,6,2,0,0,5.16478597392351,3,5,1,Entire house,f,3,within an hour
0,28806,5,Entire home/apt,7,3,0,0,5.73009978297357,3,5,1,Entire residential home,t,3,within an hour
0,28704,5,Entire home/apt,3,1,0,1,5.50533153593236,1,5,1,Entire residential home,t,1,within an hour
0,28806,3,Entire home/apt,5,1,0,0,4.85981240436167,2,3,1,Private small room,f,2,within a few hours
1,28805,3,Entire home/apt,6,1,0,0,4.7361984483945,2,5,1,Entire guest suite,t,3,within an hour
0,28806,5,Entire home/apt,14,3,0,0,5.90263333340137,3,4,1,Entire house,f,6,within an hour
1,28803,2,Private room,2,1,0,0,4.27666611901606,1,5,1,Private room in residential home,f,1,within an hour
1,28805,4,Entire home/apt,4,1,0,0,4.9416424226093,2,5,1,Entire rental unit,t,2,within an hour
1,28804,5,Entire home/apt,8,1,0,0,5.10594547390058,2,5,1,Private small room,t,3,
0,28804,5,Entire home/apt,4,1,0,0,4.8283137373023,2,5,1,Entire house,f,2,
1,28801,5,Entire home/apt,12,3,0,0,6.35262939631957,2,5,1,Entire residential home,t,6,within an hour
1,28806,5,Entire home/apt,16,5,0,0,6.71538338633468,8,5,1,Entire house,t,18,within an hour
1,28804,5,Entire home/apt,10,2.5,0,0,5.96614673912369,3,5,1,Entire residential home,t,4,within an hour
1,28806,2,Entire home/apt,2,1,0,0,4.56434819146784,1,5,1,Entire apartment,f,1,within an hour
1,28806,5,Entire home/apt,4,2.5,0,1,5.11799381241676,2,5,0,Private small room,t,2,within an hour
1,28801,5,Private room,2,1,0,1,5.74939298590825,1,5,1,Other,t,1,within an hour
1,28803,3,Entire home/apt,8,3,0,0,5.86929691313377,4,4,1,Private small room,t,5,
0,28804,5,Entire home/apt,4,1,0,0,4.969813299576,1,5,1,Entire house,t,2,within an hour
1,28801,5,Entire home/apt,2,1,0,0,5.40717177146012,1,5,1,Entire apartment,f,1,within an hour
1,28806,3,Entire home/apt,2,1,0,0,4.57471097850338,1,5,1,Entire guest suite,t,1,within an hour
1,28806,5,Entire home/apt,2,1,0,0,4.60517018598809,1,5,1,Entire guest suite,f,0,within an hour
1,28803,5,Private room,3,1,1,0,4.51085950651685,1,5,1,Private room in residential home,t,1,within an hour
1,28804,4,Entire home/apt,2,1,0,0,4.94875989037817,1,5,1,Entire guest suite,f,2,within an hour
0,28803,5,Entire home/apt,6,2,0,0,5.7037824746562,3,5,1,Private small room,f,4,within an hour
1,28806,5,Entire home/apt,10,3.5,0,0,6.12686918411419,4,5,1,Entire house,f,4,within an hour
0,28806,3,Entire home/apt,3,1,0,0,4.0943445622221,1,5,1,Entire guest suite,t,2,within an hour
1,28801,3,Private room,2,1,0,0,5.67332326717149,1,5,1,Private small room,t,1,within an hour
1,28801,5,Entire home/apt,8,3,0,0,6.28785856016178,3,5,1,Private small room,t,3,within an hour
1,28801,4,Entire home/apt,4,1,0,0,4.97673374242057,1,4,1,Private small room,t,2,within an hour
0,28806,4,Entire home/apt,4,1,0,0,5.01063529409626,1,5,1,Entire guest suite,f,1,within a few hours
1,28801,5,Entire home/apt,4,1,0,0,5.37063802812766,2,5,1,Entire apartment,f,2,within an hour
1,28806,1,Private room,2,1,1,0,4.84418708645859,1,4,1,Private room in house,t,1,within an hour
1,28801,4,Entire home/apt,2,1,0,0,4.65396035015752,1,5,1,Entire house,t,1,within an hour
1,28801,5,Private room,2,1.5,1,0,4.82028156560504,1,5,1,Private room in house,f,1,within an hour
1,28803,3,Entire home/apt,8,3,0,0,5.86929691313377,4,4,1,Private small room,t,5,within an hour
1,28806,5,Entire home/apt,6,1,0,0,5.17048399503815,3,5,1,Entire residential home,t,4,within an hour
1,28804,5,Entire home/apt,3,1,0,0,4.59511985013459,1,5,1,Entire guest suite,t,1,within an hour
1,28805,1,Private room,2,1,0,0,4.65396035015752,1,4,1,Private small room,f,1,within an hour
0,28806,5,Entire home/apt,7,2.5,0,0,4.90527477843843,2,5,1,Entire residential home,f,2,within a few hours
1,28801,3,Entire home/apt,3,2,0,0,4.96284463025991,1,5,1,Private small room,t,1,within an hour
1,28804,1,Private room,2,1,1,0,3.91202300542815,1,5,1,Private room in house,t,1,within an hour
1,28806,3,Entire home/apt,2,1,0,0,4.98360662170834,1,5,1,Entire guest suite,t,1,within an hour
1,28801,5,Entire home/apt,4,1,0,0,4.65396035015752,1,5,1,Entire apartment,f,1,within an hour
1,28805,2,Entire home/apt,2,1,0,0,4.59511985013459,1,4,1,Entire guest suite,f,1,within a day
1,28805,4,Entire home/apt,8,2,0,0,6.18620862390049,3,4,1,Entire residential home,t,4,within an hour
1,28801,5,Entire home/apt,6,2,0,0,5.41164605185504,2,5,1,Private small room,t,3,within an hour
0,28804,5,Entire home/apt,5,1,0,0,5.08140436498446,2,5,1,Entire house,t,2,within an hour
1,28804,5,Entire home/apt,5,1,0,0,5.29831736654804,2,5,1,Entire rental unit,f,2,within an hour
0,28801,5,Entire home/apt,2,1,0,0,5.03695260241363,1,5,1,Entire rental unit,t,1,within an hour
1,28805,0,Private room,2,1,0,1,5.4971682252932,1,2,0,Private small room,t,2,
0,28704,5,Entire home/apt,2,1,0,0,4.30406509320417,1,5,1,Other,t,1,within an hour
1,28804,5,Entire home/apt,4,1,0,0,5.6021188208797,2,5,1,Entire house,t,3,within an hour
1,28801,1,Entire home/apt,2,1,0,0,5.44241771052179,1,4,1,Entire apartment,t,1,within an hour
1,28805,4,Private room,2,1.5,0,0,4.87519732320115,1,5,1,Private room in house,f,1,within an hour
1,28715,4,Private room,2,1,1,0,4.00733318523247,1,4,1,Private room in residential home,f,1,within an hour
1,28805,5,Entire home/apt,4,1,0,0,4.94875989037817,2,5,1,Entire house,t,2,within a few hours
1,28806,5,Entire home/apt,4,1,0,0,4.97673374242057,2,5,1,Entire house,t,2,within an hour
1,28801,2,Private room,2,1,0,0,5.24174701505964,1,5,1,Private small room,t,2,within an hour
1,28801,5,Entire home/apt,6,2,0,0,6.17586727010576,2,5,1,Private small room,t,3,within an hour
0,28803,1,Private room,2,1,0,0,4.34380542185368,1,4,1,Private room in house,f,1,within an hour
1,28803,5,Entire home/apt,8,2,0,0,5.69035945432406,4,5,1,Entire house,t,5,within an hour
0,28732,4,Private room,2,1,1,0,3.85014760171006,1,5,1,Private room in house,t,1,within an hour
1,28801,3,Entire home/apt,4,1,0,0,5.07517381523383,1,3,0,Private small room,t,2,within an hour
1,28704,5,Entire home/apt,6,1,0,0,5.11198778835654,2,5,1,Entire residential home,f,3,within an hour
1,28805,2,Entire home/apt,2,1,0,0,4.24849524204936,1,5,1,Entire guest suite,f,1,
1,28732,0,Entire home/apt,4,1.5,0,0,4.55387689160054,2,2,1,Private small room,t,2,within an hour
1,28732,4,Entire home/apt,4,1,0,0,5.27811465923052,2,5,1,Entire guest suite,t,3,within an hour
0,28704,5,Entire home/apt,8,3.5,0,0,6.27664348934164,4,4,1,Entire house,f,4,within an hour
1,28804,5,Entire home/apt,12,3,0,0,6.45833828334479,5,5,1,Entire house,t,7,within an hour
1,28803,2,Entire home/apt,4,1,0,0,5.32300997913841,2,4,1,Entire house,t,2,
0,28806,3,Private room,2,1,0,0,3.93182563272433,1,5,1,Private room in residential home,t,1,within an hour
0,28801,5,Entire home/apt,6,2,0,0,5.27299955856375,3,5,1,Entire house,t,4,within a few hours
1,28805,5,Entire home/apt,4,1,0,0,5.02388052084628,1,5,1,Entire guest suite,t,2,within an hour
1,28806,4,Entire home/apt,6,1,0,0,5.17048399503815,2,5,1,Entire house,t,2,within an hour
0,28806,5,Entire home/apt,7,2,0,0,4.8283137373023,3,5,1,Entire residential home,f,5,within an hour
1,28801,5,Entire home/apt,8,3,0,0,6.23244801655052,3,5,1,Private small room,t,3,within an hour
0,28806,5,Entire home/apt,4,1,0,0,5.15329159449778,2,5,1,Private small room,t,2,within an hour
1,28806,3,Entire home/apt,4,1,0,0,5.03043792139244,1,5,1,Entire apartment,f,2,within an hour
0,28801,5,Entire home/apt,5,1,0,0,5.50125821054473,2,5,1,Entire house,f,3,within an hour
0,28806,5,Entire home/apt,5,1,0,0,4.70048036579242,1,5,1,Entire guest suite,f,1,
0,28801,3,Private room,2,1,0,0,4.31748811353631,1,5,1,Private room in house,t,1,
0,28801,5,Entire home/apt,4,1,0,0,5.51745289646471,1,5,1,Private small room,t,2,within an hour
0,28805,4,Entire home/apt,8,3,0,0,5.94017125272043,4,4,1,Entire house,t,4,within an hour
0,28801,0,Entire home/apt,2,1,0,1,5.29831736654804,1,4,1,Entire residential home,f,1,
0,28732,1,Private room,2,1,0,1,5.30330490805908,1,5,0,Private small room,t,2,
1,28803,5,Entire home/apt,7,1,0,0,4.90527477843843,3,5,1,Entire residential home,f,4,within an hour
1,28801,0,Entire home/apt,2,1,0,0,4.8283137373023,1,3,1,Entire apartment,f,1,within an hour
1,28803,4,Private room,2,1,0,0,4.77912349311153,1,5,1,Private room in residential home,f,1,within an hour
0,28803,3,Private room,2,1,0,0,4.44265125649032,1,5,1,Private room in house,f,1,within an hour
0,28806,5,Entire home/apt,6,2,0,0,4.70048036579242,3,5,1,Entire house,f,3,within an hour
0,28803,5,Entire home/apt,4,2,0,1,4.38202663467388,2,5,1,Private small room,f,2,within an hour
1,28806,5,Entire home/apt,4,1,0,0,4.89034912822175,2,5,1,Entire house,t,3,
0,28804,5,Entire home/apt,2,1,0,0,4.00733318523247,1,5,1,Entire residential home,f,0,within an hour
1,28704,1,Private room,2,1,0,0,3.98898404656427,1,5,1,Private room in residential home,t,1,within an hour
1,28803,5,Entire home/apt,8,2,0,0,4.99721227376411,3,5,1,Entire residential home,t,4,within an hour
1,28732,5,Entire home/apt,6,2,0,0,5.32300997913841,1,5,1,Private small room,f,5,within an hour
1,28704,5,Entire home/apt,2,1,0,0,4.74493212836325,1,5,1,Entire guesthouse,f,1,
1,28704,2,Private room,2,1,0,0,4.38202663467388,1,5,1,Private room in residential home,f,1,within a day
